Abbreviated reference,Habitat,Growing system,Vascularization,Group,Group1,Functional group,Class,Species,Category,ala_d15N,asx_d15N,glu_d15N,ile_d15N,leu_d15N,pro_d15N,val_d15N,gly_d15N,lys_d15N,phe_d15N,ser_d15N,met_d15N,thr_d15N,Beta_glx-phe
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Quercus robur,C3_terrestrial_plant,0.7,3.1,1.5,-2.9,-2.6,7.3,0.6,-5.9,-1.4,9.7,-7.1,na,-9.2,-8.2
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Rosa canina,C3_terrestrial_plant,4.4,5,4.4,1.9,1.2,10.1,4.4,-8.6,2.6,11.1,-3.3,na,2.4,-6.7
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Rosa canina,C3_terrestrial_plant,5.1,6.9,6.2,2,1.4,8.5,5.3,-7.8,4.5,10.9,-2.1,na,4.1,-4.7
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Rubus plicatus,C3_terrestrial_plant,4.1,4.8,4.1,1.2,1,5.1,3.8,-9.5,2.2,10.6,-2.3,na,-2,-6.5
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Salix alba,C3_terrestrial_plant,2.9,3.5,2.8,-0.2,1,6.6,5.1,-3.8,2,11.6,-6.2,na,-0.6,-8.8
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Salix alba,C3_terrestrial_plant,9.9,11.7,10.9,7,8.2,14.5,12,-10.9,9.1,20.6,3.3,na,5.4,-9.7
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Sambucus,C3_terrestrial_plant,2.4,2.9,2,-0.1,-1,1.1,1.4,-9.6,-1.9,14.2,-5.9,na,-1.3,-12.2
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Tilia platyphyllos,C3_terrestrial_plant,1.8,4.3,3.6,2.6,-0.9,7.2,4.3,-8.2,2.1,13.6,-3.5,na,-1.3,-10
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Ulmus minor,C3_terrestrial_plant,3.4,4.4,3.3,1.2,0.9,8.5,4,-4.9,1.5,11.8,-2.8,na,-3.8,-8.5
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Carpinus betula,C3_terrestrial_plant,7.5,7.8,6.7,2.3,1.9,9.8,6.4,-7.3,4.1,16.6,-3.9,na,-0.4,-9.9
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Corylus avellana,C3_terrestrial_plant,4.7,6.2,6.1,2.1,0.2,11.8,5.7,-4.5,2.2,14.1,-2.6,na,-4,-8
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Fagus sylvatica,C3_terrestrial_plant,5.6,5.1,4.3,0.9,0.8,9.7,3.6,-4.3,2.7,12.1,-3,na,-5.2,-7.8
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Fraxinus excelsior,C3_terrestrial_plant,9.1,10.6,9.7,5.2,6,13,8.6,-6.3,8.2,19.2,-1.5,na,0.6,-9.5
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Gingko biloba,C3_terrestrial_plant,6.6,8.8,7.4,6.1,3.8,8.3,6.5,-7,4,16.9,-2.8,na,0.3,-9.5
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Liriodendron tulipifera,C3_terrestrial_plant,4.3,6.1,5.2,1.3,1.5,5.8,5.2,-6.6,4.3,15.6,-4,na,-2.3,-10.4
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Quercus robur,C3_terrestrial_plant,7.2,9.3,8.1,6.6,3.8,15.6,6.9,-7.5,6.8,17.7,-0.9,na,-3.8,-9.6
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Tilia platyphyllos,C3_terrestrial_plant,4.6,5.8,7,2.5,2.6,12.5,5.8,-5.6,3.4,16.4,-4.4,na,-2.9,-9.4
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Dryopteris felix-mas,C3_terrestrial_plant,7.7,9.1,8.7,6.3,5.7,12.4,6,-2.9,4,14.7,-1.2,na,-1.8,-6
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Plantago major,C3_terrestrial_plant,5,5.9,6.1,1.6,1.4,5.4,4.4,-4.2,2.6,13.7,-3,na,3.9,-7.6
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Rumex obtusifolius,C3_terrestrial_plant,2.3,6.1,4.8,-0.1,-0.3,4.3,3.4,-2.9,1.4,12.4,-3.7,na,2.8,-7.6
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Taraxacum officinale,C3_terrestrial_plant,2.2,3.6,3.6,-0.5,-1.6,9.5,1.8,-7.2,0.5,10.1,-3,na,1.5,-6.5
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Trifolium repens,C3_terrestrial_plant,0.1,1.7,0.6,-2.4,-2.6,2.6,0.8,-7.2,-2.7,7.8,-7.6,na,-1.1,-7.2
Kendall et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Urtica dioica,C3_terrestrial_plant,4.2,5.7,6,1.3,1.2,4.7,4.3,-3.7,1.4,8.7,-5.1,na,-1.2,-2.7
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Amaranthus lividus,C3_terrestrial_plant,3.5,5.9,5.3,0.8,1.6,5.1,4.7,-1.8,2.1,11.5,-3.8,na,1.3,-6.2
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Amaranthus lividus,C3_terrestrial_plant,5.4,7,6.7,3.4,3.4,6.8,7.2,-5.5,2.8,11.7,-5.8,na,-0.5,-5
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Anagallis arvensis,C3_terrestrial_plant,3.3,5,3.1,1.4,1.4,5.1,3.4,-6.5,2.1,14.6,-5.7,na,1.7,-11.5
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cirsium arvense,C3_terrestrial_plant,3.5,4.1,4.2,0.8,0.3,7.1,3.4,-6.3,0.9,9.4,-2.7,na,2.9,-5.2
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cirsium arvense,C3_terrestrial_plant,4,5.1,5.8,1.4,1.5,7.8,4.7,-7.3,1,8.9,-2.9,na,3.3,-3.1
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Lathyrus tuberosus,C3_terrestrial_plant,1.4,3.3,2.5,-2,-2.6,3.2,1.9,-3.3,,5.8,-6.8,na,-12.6,-3.3
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Poa annua,C3_terrestrial_plant,4.1,6.1,5.5,1.5,0.9,4.8,4.1,-4.1,0.8,9.2,-3,na,3,-3.7
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Poa annua,C3_terrestrial_plant,0.5,3.7,2.7,-0.8,-2.4,2,2.7,-7.4,-0.9,7.8,-6.3,na,0.4,-5.1
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Polygonum aviculare,C3_terrestrial_plant,3,3.9,3.5,0.6,0.1,5.6,3.5,-10.5,0.7,13.4,-5.3,na,-0.7,-9.9
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum nigrum,C3_terrestrial_plant,1.4,3,1.9,-1.7,-1.6,7.7,1.8,-5.2,-0.7,7.2,-5,na,-2,-5.3
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum nigrum,C3_terrestrial_plant,5.1,6.8,6.3,1.5,1.8,7.8,5.2,-4.7,2,9.1,-1.5,na,3.3,-2.8
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Stellaria media,C3_terrestrial_plant,2.3,6.1,5.4,1.6,1.8,5.3,5.8,-0.1,3.3,10.7,-2.7,na,4.3,-5.3
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,5.3,7.5,6.8,5.4,2.9,6.8,6.8,-0.4,3.8,11.5,1.9,na,6.1,-4.7
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,6.9,8.8,8.9,5.4,3.6,8.7,7.5,-2.6,4.9,13,0.2,na,5.1,-4.1
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,4.2,6.1,4.7,2.4,1,5.5,5.5,-3.1,2.8,10.8,-2.5,na,2.8,-6.1
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,4,6.2,4.9,3.5,1.1,4.7,5.6,2.8,2.6,8.4,-1.5,na,3.3,-3.5
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,8.8,11.1,9.6,10,6.7,11.1,10,-1.5,6.4,13.8,2.7,na,7.2,-4.2
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,5,7.2,6.2,4.8,2.6,5.8,6.1,-0.6,3.1,10.1,-0.4,na,4.6,-3.9
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,5.8,7.6,6.9,5.6,3.1,6.6,6.9,-2.2,4.3,10.5,0,na,4.7,-3.6
Kendall et al. 2019,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,4.5,7.2,5.4,3.4,2.8,7,5.7,na,2,11.4,-0.9,na,2.7,-6
